time_s,state,target_alt_m,setpoint_alt_m,alt_m,climb_setpoint_mps,climb_mps,thrust,p,i,d,integrator_frozen,loop_period_s
0.000,CLIMB_TO_HIGH,10.00,0.0000,0.0000,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0000
0.020,CLIMB_TO_HIGH,10.00,-0.0000,-0.0000,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0203
0.043,CLIMB_TO_HIGH,10.00,-0.0000,-0.0000,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0226
0.061,CLIMB_TO_HIGH,10.00,-0.0000,-0.0000,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0177
0.085,CLIMB_TO_HIGH,10.00,-0.0000,-0.0000,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0241
0.101,CLIMB_TO_HIGH,10.00,-0.0000,-0.0000,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0161
0.120,CLIMB_TO_HIGH,10.00,-0.0000,-0.0000,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0191
0.141,CLIMB_TO_HIGH,10.00,-0.0000,-0.0000,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0210
0.161,CLIMB_TO_HIGH,10.00,-0.0000,-0.0000,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0199
0.180,CLIMB_TO_HIGH,10.00,-0.0000,-0.0000,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0192
0.203,CLIMB_TO_HIGH,10.00,-0.0000,-0.0000,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0234
0.221,CLIMB_TO_HIGH,10.00,-0.0000,-0.0000,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0179
0.245,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0233
0.260,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0153
0.280,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0200
0.300,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0203
0.320,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0198
0.342,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0216
0.361,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0193
0.385,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0239
0.400,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0153
0.420,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0200
0.440,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0200
0.460,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0201
0.480,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0200
0.500,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0200
0.522,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0224
0.542,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0194
0.560,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0186
0.581,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0208
0.600,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0188
0.622,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0223
0.641,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0187
0.662,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0206
0.684,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0219
0.704,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0205
0.721,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0169
0.742,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0215
0.764,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0219
0.781,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0171
0.800,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0186
0.820,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0200
0.842,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0222
0.864,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0222
0.880,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0156
0.905,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0250
0.924,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0185
0.940,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0167
0.962,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0217
0.980,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0184
1.001,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0211
1.025,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0232
1.041,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0161
1.065,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0240
1.084,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0189
1.103,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0189
1.124,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0218
1.140,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0157
1.161,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0205
1.184,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0233
1.201,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0167
1.223,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0225
1.240,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0170
1.260,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0200
1.282,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0224
1.300,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0176
1.320,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0200
1.340,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0200
1.361,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0210
1.382,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0211
1.404,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0224
1.421,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0163
1.442,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0213
1.460,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0182
1.485,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0243
1.500,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0154
1.520,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0200
1.543,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0234
1.563,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0199
1.581,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0172
1.600,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0198
1.620,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0201
1.640,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0200
1.660,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0197
1.681,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0211
1.700,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0190
1.725,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0245
1.740,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0153
1.761,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0206
1.780,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0195
1.801,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0206
1.823,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0223
1.841,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0002,0.49000,0.00000,0.00000,0.00000,1,0.0181
1.860,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0192
1.880,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0198
1.900,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0200
1.924,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0240
1.944,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0200
1.960,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0161
1.983,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0232
2.002,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0187
2.020,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0183
2.043,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0231
2.060,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0168
2.084,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0235
2.100,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0165
2.120,CLIMB_TO_HIGH,10.00,-0.0001,-0.0001,0.0000,-0.0001,0.49000,0.00000,0.00000,0.00000,1,0.0200
